instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,6,0,2,34.4167,36.3625,0.805833,0.160446,331,654,985
2,2011-01-02,1,0,1,0,0,0,2,36.3478,35.3739,0.696087,0.248539,131,670,801
3,2011-01-03,1,0,1,0,1,1,1,19.6364,18.9405,0.437273,0.248309,120,1229,1349
4,2011-01-04,1,0,1,0,2,1,1,20.0,21.2122,0.590435,0.160296,108,1454,1562
5,2011-01-05,1,0,1,0,3,1,1,22.6957,22.927,0.436957,0.1869,82,1518,1600
6,2011-01-06,1,0,1,0,4,1,1,20.4348,23.3209,0.518261,0.0895652,88,1518,1606
7,2011-01-07,1,0,1,0,5,1,2,19.6522,20.8839,0.498696,0.168726,148,1362,1510
8,2011-01-08,1,0,1,0,6,0,2,16.5,16.2254,0.535833,0.266804,68,891,959
9,2011-01-09,1,0,1,0,0,0,1,13.833299999999998,11.6175,0.434167,0.36195,54,768,822
10,2011-01-10,1,0,1,0,1,1,1,15.0833,15.088800000000004,0.482917,0.223267,41,1280,1321
11,2011-01-11,1,0,1,0,2,1,2,16.909100000000002,19.146400000000003,0.6863640000000001,0.122132,43,1220,1263
12,2011-01-12,1,0,1,0,3,1,1,17.2727,16.0473,0.599545,0.304627,25,1137,1162
13,2011-01-13,1,0,1,0,4,1,1,16.5,15.088299999999998,0.470417,0.301,38,1368,1406
14,2011-01-14,1,0,1,0,5,1,1,16.087,18.8413,0.537826,0.126548,54,1367,1421
15,2011-01-15,1,0,1,0,6,0,2,23.3333,24.8112,0.49875,0.15796300000000002,222,1026,1248
16,2011-01-16,1,0,1,0,0,0,1,23.1667,23.4217,0.48375,0.188433,251,953,1204
17,2011-01-17,1,0,1,1,1,0,2,17.583299999999998,17.677100000000006,0.5375,0.194017,117,883,1000
18,2011-01-18,1,0,1,0,2,1,2,21.6667,23.2333,0.861667,0.146775,9,674,683
19,2011-01-19,1,0,1,0,3,1,2,29.2174,29.8422,0.741739,0.208317,78,1572,1650
20,2011-01-20,1,0,1,0,4,1,2,26.1667,25.505,0.538333,0.195904,83,1844,1927
21,2011-01-21,1,0,1,0,5,1,1,17.75,15.7833,0.457083,0.353242,75,1468,1543
22,2011-01-22,1,0,1,0,6,0,1,5.9130400000000005,7.9069600000000015,0.4,0.17197,93,888,981
23,2011-01-23,1,0,1,0,0,0,1,9.65217,9.883910000000002,0.436522,0.2466,150,836,986
24,2011-01-24,1,0,1,0,1,1,1,9.739130000000001,11.793,0.491739,0.15833,86,1330,1416
25,2011-01-25,1,0,1,0,2,1,2,22.3478,23.4526,0.616957,0.129796,186,1799,1985
26,2011-01-26,1,0,1,0,3,1,3,21.75,20.36,0.8625,0.29385,34,472,506
27,2011-01-27,1,0,1,0,4,1,1,19.5,21.97,0.6875,0.113837,15,416,431
28,2011-01-28,1,0,1,0,5,1,2,20.3478,22.3317,0.793043,0.1233,38,1129,1167
29,2011-01-29,1,0,1,0,6,0,1,19.6522,21.2126,0.6517390000000001,0.14536500000000002,123,975,1098
30,2011-01-30,1,0,1,0,0,0,1,21.6522,25.0322,0.722174,0.0739826,140,956,1096
31,2011-01-31,1,0,1,0,1,1,2,18.0833,18.625,0.60375,0.187192,42,1459,1501
32,2011-02-01,1,0,2,0,2,1,2,19.2174,23.453000000000007,0.829565,0.053213,47,1313,1360
33,2011-02-02,1,0,2,0,3,1,2,26.0,25.4417,0.775417,0.264308,72,1454,1526
34,2011-02-03,1,0,2,0,4,1,1,18.6957,17.7878,0.4378260000000001,0.277752,61,1489,1550
35,2011-02-04,1,0,2,0,5,1,2,21.1304,22.8587,0.585217,0.127839,88,1620,1708
36,2011-02-05,1,0,2,0,6,0,2,23.3333,24.3058,0.929167,0.161079,100,905,1005
37,2011-02-06,1,0,2,0,0,0,1,28.5833,29.1671,0.568333,0.1418,354,1269,1623
38,2011-02-07,1,0,2,0,1,1,1,27.1667,30.3658,0.738333,0.045408300000000006,120,1592,1712
39,2011-02-08,1,0,2,0,2,1,1,22.0833,19.8246,0.537917,0.36195,64,1466,1530
40,2011-02-09,1,0,2,0,3,1,2,13.4783,14.4283,0.494783,0.188839,53,1552,1605
41,2011-02-10,1,0,2,0,4,1,1,14.4348,14.954800000000002,0.437391,0.221935,47,1491,1538
42,2011-02-11,1,0,2,0,5,1,1,18.9091,21.3509,0.506364,0.10855,149,1597,1746
43,2011-02-12,1,0,2,0,6,0,1,22.25,23.2954,0.544167,0.203367,288,1184,1472
44,2011-02-13,1,0,2,0,0,0,1,31.6522,32.4113,0.457391,0.260883,397,1192,1589
45,2011-02-14,1,0,2,0,1,1,1,41.5,39.835,0.375833,0.417908,208,1705,1913
46,2011-02-15,1,0,2,0,2,1,1,26.608699999999995,25.4274,0.314348,0.291374,140,1675,1815
47,2011-02-16,1,0,2,0,3,1,1,31.8261,31.62,0.423478,0.251791,218,1897,2115
48,2011-02-17,1,0,2,0,4,1,1,43.5833,42.8658,0.505,0.230104,259,2216,2475
49,2011-02-18,1,0,2,0,5,1,1,52.1667,51.1983,0.516667,0.264925,579,2348,2927
50,2011-02-19,1,0,2,0,6,0,1,39.9167,39.1404,0.187917,0.507463,532,1103,1635
51,2011-02-20,1,0,2,0,0,0,1,28.5217,27.733,0.407826,0.223235,639,1173,1812
52,2011-02-21,1,0,2,1,1,0,2,30.3333,28.4075,0.605,0.307846,195,912,1107
53,2011-02-22,1,0,2,0,2,1,1,18.2222,18.6033,0.577778,0.195683,74,1376,1450
54,2011-02-23,1,0,2,0,3,1,1,22.1739,24.571700000000003,0.423043,0.094113,139,1778,1917
55,2011-02-24,1,0,2,0,4,1,2,29.565200000000004,28.9191,0.697391,0.250496,100,1707,1807
56,2011-02-25,1,0,2,0,5,1,2,36.4348,35.0461,0.712174,0.346539,120,1341,1461
57,2011-02-26,1,0,2,0,6,0,1,28.25,28.2192,0.537917,0.186571,424,1545,1969
58,2011-02-27,1,0,2,0,0,0,1,34.3478,35.1109,0.68,0.125248,694,1708,2402
59,2011-02-28,1,0,2,0,1,1,2,40.7273,40.0118,0.8763639999999999,0.289686,81,1365,1446
60,2011-03-01,1,0,3,0,2,1,1,26.6667,26.3879,0.535,0.216425,137,1714,1851
61,2011-03-02,1,0,3,0,3,1,1,33.5,32.0071,0.449583,0.307833,231,1903,2134
62,2011-03-03,1,0,3,0,4,1,1,19.8333,20.0133,0.318333,0.225754,123,1562,1685
63,2011-03-04,1,0,3,0,5,1,2,26.1667,25.5679,0.610417,0.203346,214,1730,1944
64,2011-03-05,1,0,3,0,6,0,2,38.4167,37.8779,0.789167,0.251871,640,1437,2077
65,2011-03-06,1,0,3,0,0,0,2,37.65219999999999,36.6252,0.948261,0.343287,114,491,605
66,2011-03-07,1,0,3,0,1,1,1,26.1739,23.8461,0.551304,0.341352,244,1628,1872
67,2011-03-08,1,0,3,0,2,1,1,29.25,30.24,0.420833,0.12065,316,1817,2133
68,2011-03-09,1,0,3,0,3,1,2,29.5833,28.6608,0.775417,0.22015,191,1700,1891
69,2011-03-10,1,0,3,0,4,1,3,38.9091,38.5668,0.0,0.261877,46,577,623
70,2011-03-11,1,0,3,0,5,1,2,31.6522,30.5,0.649565,0.23297,247,1730,1977
71,2011-03-12,1,0,3,0,6,0,1,32.9167,32.575,0.594583,0.220775,724,1408,2132
72,2011-03-13,1,0,3,0,0,0,1,38.4348,38.0091,0.5273909999999999,0.270604,982,1435,2417
